"","Farm","FLOCKCODE","DISTRICT","SEX","AGE","WORKERNO.x","experience","EDLEVEL","CHICKENTOTAL","Week_raising","feed_plus_ofeed","feedpricec_kg","X.week_with_medical_feed","per_week_anti","num_anti_used","DOC.FLOCK","numbersellsum","type.vaccine.use","mortality.y","morta_end","Otherflock_class","Other_animal_class","ave_body_weight","Revenue.flock","ROI.flock","GPM.flock","Ocost.COST.FLOCK","average_ADDkg_per.1000.chicken_week","num_week_anti"
"82","75-040","75-0402","Thap Muoi","M",64,2,"5","SecondarySchool",120,15,1,"10850","0.8","0.07",1,1200000,"109",4,"0.02","0",1,1,"1.4",10600000,"1.064666926","0.515660377","351000","21.14287829",1
"83","75-040","75-0403","Thap Muoi","M",64,1,"5","SecondarySchool",200,13,1,"10923.07692","1","0.15",2,2000000,"169",2,"0.15","0.12371134",1,1,"1.3",15300000,"1.414772727","0.585882353","165000","28.47512005",2
"84","75-041","75-0411","Thap Muoi","M",56,2,"2","PrimarySchool",100,20,1,"11152.94118","0.85","0.15",1,1300000,"84",5,"0.02","0.02",0,1,"1.7",10339000,"0.540937917","0.351044588","290000","334.3915344",3
"85","75-041","75-0412","Thap Muoi","M",56,2,"2","PrimarySchool",103,15,1,"10876.92308","0.866666667","0.13",1,800000,"59",3,"0.34","0",0,1,"1.6",6127000,"0.342845245","0.255312551","NA","406.3857354",2
"86","75-041","75-0413","Thap Muoi","M",56,2,"2","PrimarySchool",102,18,1,"10842.85714","0.777777778","0",0,1200000,"50",5,"0.22","0",1,1,"1.6",6400000,"0.199319386","0.16619375","NA","0",0
"87","75-043","75-0431","Thap Muoi","F",51,1,"3","HighSchool",150,18,1,"11477.77778","0","0.48",8,1650000,"138",5,"0.08","0",0,0,"1.4",14420000,"0.426310584","0.29889043","1458000","824.7484267",10
"88","75-044","75-0441","Thap Muoi","F",54,2,"3","PrimarySchool",102,19,1,"11800","0.526315789","0",0,1000000,"48",3,"0.29","0",1,1,"1.5",5385000,"0.217251746","0.178477252","124000","0",0
"89","75-044","75-0442","Thap Muoi","F",54,2,"3","PrimarySchool",170,13,1,"11233.33333","0.923076923","0.33",4,1360000,"65",2,"0.57","0",1,1,"1.9",9253000,"0.820095204","0.450578191","NA","1767.200216",5
"90","75-044","75-0443","Thap Muoi","F",54,2,"3","PrimarySchool",100,16,1,"11400","0.625","0.37",6,1200000,"84",1,"0.16","0.115789474",1,1,"1.7",11520000,"1.663275922","0.624522569","NA","311.8007185",7
"91","75-045","75-0451","Thap Muoi","F",29,2,"2","SecondarySchool",250,20,0,"11210.52632","0.95","0.1",2,2500000,"56",5,"0.78","0",1,1,"1.5",5100000,"-0.392712551","-0.646666667","NA","341.2158515",2
"92","75-045","75-0452","Thap Muoi","F",29,1,"2","SecondarySchool",450,16,0,"10800","0.1875","0.06",1,6000000,"300",4,"0.22","0.125",1,1,"1.3",30000000,"1.708559047","0.6308","NA","352.7336861",1
"93","75-045","75-0453","Thap Muoi","F",29,1,"2","SecondarySchool",300,15,0,"10853.33333","0.133333333","0",0,3600000,"NA",3,"0.23","0.178571429",1,1,"1.3",1,"-0.999999869","-7624999","NA","0",0
"94","75-046","75-0461","Thap Muoi","M",67,2,"2","SecondarySchool",250,19,1,"10800","1","0.05",1,2500000,"168",4,"0.28","0",1,1,"1.8",19300000,"1.279572433","0.561321244","NA","267.3350042",1
"95","75-046","75-0462","Thap Muoi","M",67,2,"2","SecondarySchool",200,16,1,"11000","1","0.13",2,1600000,"90",2,"0.5","0.230769231",1,1,"1.4",10458000,"0.569681051","0.362927902","NA","436.6711447",2
"96","75-046","75-0463","Thap Muoi","M",67,2,"2","SecondarySchool",250,20,1,"10800","1","0.14",3,2750000,"180",4,"0.2","0.166666667",1,1,"1.7",23868000,"1.5039209","0.600626362","185000","70.02651113",3
"97","75-046","75-0464","Thap Muoi","M",67,2,"2","SecondarySchool",300,18,1,"10800","1","0.21",4,3000000,"120",4,"0.6","0.52",1,1,"1.6",14976000,"0.644765383","0.39201055","NA","64.99220557",4
"98","75-047","75-0471","Thap Muoi","M",54,2,"3","PrimarySchool",600,21,0,"11228.57143","1","0.14",3,6000000,"500",3,"0.08","0",1,1,"1.6",53250000,"2.982797307","0.748920188","410000","230.9264869",3
"99","75-047","75-0472","Thap Muoi","M",54,1,"3","PrimarySchool",600,20,0,"11300","1","0.2",4,4800000,"390",3,"0.32","0.1875",1,1,"1.6",40970000,"2.32683719","0.699414206","NA","265.5679817",4
"100","75-047","75-0473","Thap Muoi","M",54,2,"3","PrimarySchool",350,17,0,"11235.29412","1","0.06",1,3500000,"330",4,"0.06","0",1,1,"1.5",34650000,"2.77245509","0.734920635","NA","32.01280512",1
"101","75-048","75-0481","Thap Muoi","F",37,1,"2","PrimarySchool",100,17,1,"10950","0.941176471","0.17",3,1000000,"100",5,"0","0",0,0,"1.5",9370000,"0.59002206","0.371077908","103000","831.1644573",3
"102","75-048","75-0482","Thap Muoi","F",37,1,"2","PrimarySchool",50,15,0,"10800","0.2","0.07",1,600000,"10",4,"0.2","0.130434783",0,0,"1.6",1377000,"-0.693625542","-2.263979666","NA","1693.121693",1
"103","75-049","75-0491","Thap Muoi","M",69,1,"2","PrimarySchool",214,22,1,"11258.33333","1.090909091","0.09",1,2000000,"107",2,"0.48","0",1,1,"1.7",12257000,"0.300132591","0.230847679","NA","62.90949241",2
"104","75-050","75-0501","Thap Muoi","F",43,2,"2","SecondarySchool",400,21,0,"11200","0.285714286","0.57",12,4000000,"190",4,"0.53","0.321428571",1,1,"1.6",18742000,"0.507682407","0.336730338","596000","617.0772506",16
"105","75-051","75-0511","Thap Muoi","M",25,1,"2","HighSchool",202,18,1,"11000","1.055555556","0.32",2,2000000,"165",5,"0.11","0.010989011",1,1,"2",19100000,"1.242473625","0.554063874","116000","820.6368899",6
"106","75-052","75-0521","Thap Muoi","M",72,2,"2","SecondarySchool",102,17,1,"11000","0.941176471","0.06",1,1100000,"94",4,"0.08","0",0,1,"2",11040000,"0.763789591","0.433038949","150000","732.3190712",1
"107","75-052","75-0522","Thap Muoi","M",72,2,"2","SecondarySchool",102,16,1,"11000","0.9375","0.13",2,1200000,"48",4,"0.16","0",0,1,"2",7500000,"0.167406024","0.1434","55000","529.5328008",2
"108","75-053","75-0531","Thap Muoi","M",46,2,"3","PrimarySchool",200,14,1,"11200","1","0.82",10,1800000,"165",4,"0.15","0.011627907",1,1,"1.6",16400000,"1.057200201","0.513902439","165000","757.6737639",14
"109","75-054","75-0541","Thap Muoi","M",48,2,"8","PrimarySchool",200,18,1,"11166.66667","0.277777778","0.24",5,2000000,"19",3,"0.9","0",1,1,"1.5",2280000,"-0.496299569","-0.985307018","310000","773.8266137",5
"110","75-054","75-0542","Thap Muoi","M",48,2,"8","PrimarySchool",200,15,1,"11436.36364","0.533333333","0.07",1,2300000,"170",4,"0.15","0",1,1,"1.5",20160000,"2.574468085","0.720238095","NA","423.2804233",1
"111","75-055","75-0551","Thap Muoi","F",39,2,"1","SecondarySchool",124,16,0,"11100","0.5","0.13",1,1320000,"95",5,"0.21","0",0,1,"1.7",11305000,"0.66629818","0.399867315","135000","48.35865051",2
"112","75-056","75-0561","Thap Muoi","M",30,1,"4","SecondarySchool",800,16,1,"11400","1","0.22",2,11300000,"760",4,"0.03","0",0,1,"1.6",84392000,"3.412999712","0.773396767","NA","115.7407408",4
